Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,20;38796;155435;90,0176;90,3883;2022-12-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,66;11275;50985;94,3400;94,9873;2022-04-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;91,60;2700;14901;91,0058;92,2033;2022-04-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;porto velho;ro;vivo;88,74;4524;22994;88,2576;89,2215;2022-09-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;rio branco;ac;vivo;91,97;5818;33155;91,5636;92,3663;2022-07-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,67;17037;96064;94,4365;94,9081;2022-08-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,40;14276;78586;94,1355;94,6570;2022-06-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;tim;93,43;8750;34927;93,0438;93,8259;2022-10-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;vivo;87,46;33786;101193;87,2336;87,6931;2022-07-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;87,59;7796;34395;87,2007;87,9888;2022-04-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;90,34;16778;94960;90,1044;90,5787;2022-10-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;94,01;82295;439955;93,9012;94,1216;2022-06-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;91,00;14916;70276;90,7240;91,2754;2022-06-28
